127.0.0.1 - - [03/Dec/2015:17:44:00 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Dec/2015:17:48:40 -0200] "POST /DialiSys/sessoes HTTP/1.1" 500 4146
0:0:0:0:0:0:0:1 - - [03/Dec/2015:17:54:23 -0200] "POST /DialiSys/sessoes HTTP/1.1" 201 610
0:0:0:0:0:0:0:1 - - [03/Dec/2015:17:56:05 -0200] "GET /DialiSys/pacientes/5/sessoes HTTP/1.1" 404 112
0:0:0:0:0:0:0:1 - - [03/Dec/2015:17:57:38 -0200] "GET /DialiSys/pacientes/5/sessoes HTTP/1.1" 404 112
0:0:0:0:0:0:0:1 - - [03/Dec/2015:17:58:36 -0200] "GET /DialiSys/pacientes/5/sessoes HTTP/1.1" 404 112
0:0:0:0:0:0:0:1 - - [03/Dec/2015:18:14:27 -0200] "GET /DialiSys/pacientes/5/sessoes HTTP/1.1" 404 112
0:0:0:0:0:0:0:1 - - [03/Dec/2015:18:49:20 -0200] "GET /DialiSys/pacientes/5/sessoes?datainicial=%2201/12/2013%22&datafinal=%2220/12/2015%22 HTTP/1.1" 404 112
0:0:0:0:0:0:0:1 - - [03/Dec/2015:18:52:23 -0200] "GET /DialiSys/pacientes/5/sessoes?datainicial=%2201/12/2013%22&datafinal=%2220/12/2015%22 HTTP/1.1" 500 4030
0:0:0:0:0:0:0:1 - - [03/Dec/2015:18:53:49 -0200] "GET /DialiSys/pacientes/5/sessoes?%22datainicial%22=%2201/12/2013%22&%22datafinal%22=%2220/12/2015%22 HTTP/1.1" 404 112
0:0:0:0:0:0:0:1 - - [03/Dec/2015:19:01:07 -0200] "POST /DialiSys/pacientes HTTP/1.1" 409 54
0:0:0:0:0:0:0:1 - - [03/Dec/2015:19:02:20 -0200] "POST /DialiSys/pacientes HTTP/1.1" 201 591
0:0:0:0:0:0:0:1 - - [03/Dec/2015:19:03:57 -0200] "DELETE /DialiSys/pacientes/10 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [03/Dec/2015:19:35:04 -0200] "GET /DialiSys/pacientes/5/sessoes HTTP/1.1" 500 4030
0:0:0:0:0:0:0:1 - - [03/Dec/2015:19:35:43 -0200] "GET /DialiSys/pacientes/5/sessoes HTTP/1.1" 404 112
0:0:0:0:0:0:0:1 - - [03/Dec/2015:19:43:04 -0200] "GET /DialiSys/pacientes/5/sessoes HTTP/1.1" 500 4030
0:0:0:0:0:0:0:1 - - [03/Dec/2015:19:54:21 -0200] "GET /DialiSys/pacientes/5/sessoes HTTP/1.1" 404 112
0:0:0:0:0:0:0:1 - - [03/Dec/2015:20:28:50 -0200] "GET /DialiSys/usuarios/1 HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [03/Dec/2015:20:29:29 -0200] "GET /DialiSys/usuarios/paulop HTTP/1.1" 200 420
